time,q1_l,q1_r,q2_l,q2_r
0.1,-0.0058606046464791525,0.02192644795939383,0.05194075772913145,0.0
0.2,0.0038178302585674855,0.03967588064620105,0.05763983353072366,0.0
0.3,-0.04037823335060942,0.030020652466909374,0.12794593917094368,0.0
0.4,-0.09099716963799774,0.04456756692915264,0.17941716510318176,0.0
0.5,-0.1524888259584832,0.08578668164964222,0.21651277064367463,0.0
0.6,-0.1754466635626005,0.13356579586696854,0.211721834026034,0.0
0.7,-0.17132391855797952,0.13158067800485002,0.19782742710294302,0.0
0.8,-0.1535,0.1194,0.2131,0.0
0.9,-0.1323,0.1323,0.1936,0.0
1.0,-0.1362,0.0996,0.2001,0.0
1.1,-0.1136,0.1110,0.1726,0.0
1.2,-0.1231,0.0897,0.1697,0.0
1.3,-0.1012,0.1003,0.1414,0.0
1.4,-0.1000,0.0809,0.1311,0.0
1.5,-0.0843,0.0935,0.1362,0.0
1.6,-0.0682,0.0784,0.1443,0.0
1.7,-0.0704,0.0762,0.1329,0.0
1.8,-0.0764,0.0681,0.1133,0.0
1.9,-0.0655,0.0518,0.0895,0.0
2.0,-0.0518,0.0405,0.0690,0.0
2.1,-0.0458,0.0379,0.0495,0.0
2.2,-0.0280,0.0357,0.0313,0.0
2.3,-0.0071,0.0349,0.0171,0.0
2.4,-0.0158,0.0143,0.0168,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.02192644795939383,-0.0058606046464791525,0.0,0.05194075772913145
2.8,0.03967588064620105,0.0038178302585674855,0.0,0.05763983353072366
2.9,0.030020652466909374,-0.04037823335060942,0.0,0.12794593917094368
3.0,0.04456756692915264,-0.09099716963799774,0.0,0.17941716510318176
3.1,0.08578668164964222,-0.1524888259584832,0.0,0.21651277064367463
3.2,0.13356579586696854,-0.1754466635626005,0.0,0.211721834026034
3.3,0.13158067800485002,-0.17132391855797952,0.0,0.19782742710294302
3.4,0.1194,-0.1535,0.0,0.2131
3.5,0.1323,-0.1323,0.0,0.1936
3.6,0.0996,-0.1362,0.0,0.2001
3.7,0.1110,-0.1136,0.0,0.1726
3.8,0.0897,-0.1231,0.0,0.1697
3.9,0.1003,-0.1012,0.0,0.1414
4.0,0.0809,-0.1000,0.0,0.1311
4.1,0.0935,-0.0843,0.0,0.1362
4.2,0.0784,-0.0682,0.0,0.1443
4.3,0.0762,-0.0704,0.0,0.1329
