jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	1,022000E+3	1,023000E+3	0,000000E+0	0,000000E+0
1	1,022000E+3	1,023000E+3	0,000000E+0	0,000000E+0
2	1,022000E+3	1,023000E+3	0,000000E+0	0,000000E+0
3	1,022000E+3	1,022000E+3	0,000000E+0	0,000000E+0
4	1,022000E+3	1,022000E+3	0,000000E+0	0,000000E+0
5	1,022000E+3	1,021000E+3	0,000000E+0	0,000000E+0
6	1,022000E+3	1,021000E+3	0,000000E+0	0,000000E+0
7	1,023000E+3	1,020000E+3	0,000000E+0	0,000000E+0
8	1,024000E+3	1,017000E+3	0,000000E+0	0,000000E+0
9	1,024000E+3	1,014000E+3	0,000000E+0	0,000000E+0
10	1,025000E+3	1,011000E+3	0,000000E+0	0,000000E+0
11	1,026000E+3	1,009000E+3	0,000000E+0	0,000000E+0
12	1,027000E+3	1,005000E+3	0,000000E+0	0,000000E+0
13	1,027000E+3	1,002000E+3	0,000000E+0	0,000000E+0
14	1,029000E+3	999,000000E+0	0,000000E+0	0,000000E+0
15	1,029000E+3	997,000000E+0	0,000000E+0	0,000000E+0
16	1,030000E+3	994,000000E+0	0,000000E+0	0,000000E+0
17	1,032000E+3	991,000000E+0	0,000000E+0	0,000000E+0
18	1,033000E+3	988,000000E+0	0,000000E+0	0,000000E+0
19	1,034000E+3	986,000000E+0	0,000000E+0	0,000000E+0
20	1,035000E+3	982,000000E+0	0,000000E+0	0,000000E+0
21	1,037000E+3	979,000000E+0	0,000000E+0	0,000000E+0
22	1,037000E+3	977,000000E+0	0,000000E+0	0,000000E+0
23	1,039000E+3	974,000000E+0	0,000000E+0	0,000000E+0
24	1,041000E+3	971,000000E+0	0,000000E+0	0,000000E+0
25	1,042000E+3	968,000000E+0	0,000000E+0	0,000000E+0
26	1,043000E+3	966,000000E+0	0,000000E+0	0,000000E+0
27	1,044000E+3	963,000000E+0	0,000000E+0	0,000000E+0
28	1,046000E+3	959,000000E+0	0,000000E+0	0,000000E+0
29	1,048000E+3	956,000000E+0	0,000000E+0	0,000000E+0
