jeudi 12 décembre 2024	16:58:12	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
1	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
2	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
3	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
4	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
5	0,000000E+0	2,000000E+0	0,000000E+0	0,000000E+0
6	65,535000E+3	5,000000E+0	0,000000E+0	0,000000E+0
7	65,534000E+3	7,000000E+0	0,000000E+0	0,000000E+0
8	65,533000E+3	8,000000E+0	0,000000E+0	0,000000E+0
9	65,533000E+3	9,000000E+0	0,000000E+0	0,000000E+0
10	65,533000E+3	9,000000E+0	0,000000E+0	0,000000E+0
11	65,532000E+3	10,000000E+0	0,000000E+0	0,000000E+0
12	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
13	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
14	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
15	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
16	65,533000E+3	9,000000E+0	0,000000E+0	0,000000E+0
17	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
18	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
19	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
20	65,532000E+3	8,000000E+0	0,000000E+0	0,000000E+0
21	65,532000E+3	8,000000E+0	0,000000E+0	0,000000E+0
22	65,532000E+3	8,000000E+0	0,000000E+0	0,000000E+0
23	65,532000E+3	8,000000E+0	0,000000E+0	0,000000E+0
24	65,532000E+3	8,000000E+0	0,000000E+0	0,000000E+0
25	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
26	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
27	65,532000E+3	10,000000E+0	0,000000E+0	0,000000E+0
28	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
29	65,532000E+3	9,000000E+0	0,000000E+0	0,000000E+0
