jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	1,022000E+3	1,022000E+3	0,000000E+0	0,000000E+0
1	1,022000E+3	1,023000E+3	0,000000E+0	0,000000E+0
2	1,022000E+3	1,023000E+3	0,000000E+0	0,000000E+0
3	1,021000E+3	1,023000E+3	0,000000E+0	0,000000E+0
4	1,022000E+3	1,026000E+3	0,000000E+0	0,000000E+0
5	1,022000E+3	1,028000E+3	0,000000E+0	0,000000E+0
6	1,022000E+3	1,031000E+3	0,000000E+0	0,000000E+0
7	1,022000E+3	1,034000E+3	0,000000E+0	0,000000E+0
8	1,021000E+3	1,037000E+3	0,000000E+0	0,000000E+0
9	1,020000E+3	1,040000E+3	0,000000E+0	0,000000E+0
10	1,019000E+3	1,044000E+3	0,000000E+0	0,000000E+0
11	1,017000E+3	1,046000E+3	0,000000E+0	0,000000E+0
12	1,015000E+3	1,050000E+3	0,000000E+0	0,000000E+0
13	1,014000E+3	1,052000E+3	0,000000E+0	0,000000E+0
14	1,013000E+3	1,056000E+3	0,000000E+0	0,000000E+0
15	1,010000E+3	1,058000E+3	0,000000E+0	0,000000E+0
16	1,009000E+3	1,061000E+3	0,000000E+0	0,000000E+0
17	1,007000E+3	1,063000E+3	0,000000E+0	0,000000E+0
18	1,006000E+3	1,066000E+3	0,000000E+0	0,000000E+0
19	1,004000E+3	1,068000E+3	0,000000E+0	0,000000E+0
20	1,003000E+3	1,071000E+3	0,000000E+0	0,000000E+0
21	1,001000E+3	1,074000E+3	0,000000E+0	0,000000E+0
22	1,000000E+3	1,077000E+3	0,000000E+0	0,000000E+0
23	999,000000E+0	1,080000E+3	0,000000E+0	0,000000E+0
24	998,000000E+0	1,084000E+3	0,000000E+0	0,000000E+0
25	997,000000E+0	1,087000E+3	0,000000E+0	0,000000E+0
26	995,000000E+0	1,090000E+3	0,000000E+0	0,000000E+0
27	994,000000E+0	1,092000E+3	0,000000E+0	0,000000E+0
28	992,000000E+0	1,095000E+3	0,000000E+0	0,000000E+0
29	992,000000E+0	1,098000E+3	0,000000E+0	0,000000E+0
