vendredi 13 décembre 2024	11:04:04	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
1	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
2	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
3	0,000000E+0	6,000000E+0	0,000000E+0	65,532000E+3
4	0,000000E+0	1,000000E+0	0,000000E+0	0,000000E+0
5	0,000000E+0	3,000000E+0	0,000000E+0	65,533000E+3
6	0,000000E+0	0,000000E+0	0,000000E+0	0,000000E+0
7	0,000000E+0	2,000000E+0	2,000000E+0	65,532000E+3
8	0,000000E+0	0,000000E+0	1,000000E+0	0,000000E+0
9	0,000000E+0	3,000000E+0	5,000000E+0	65,534000E+3
10	2,000000E+0	0,000000E+0	3,000000E+0	0,000000E+0
11	0,000000E+0	3,000000E+0	9,000000E+0	0,000000E+0
12	2,000000E+0	0,000000E+0	7,000000E+0	0,000000E+0
13	0,000000E+0	1,000000E+0	6,000000E+0	65,533000E+3
14	0,000000E+0	0,000000E+0	4,000000E+0	65,535000E+3
15	0,000000E+0	2,000000E+0	5,000000E+0	65,531000E+3
16	0,000000E+0	0,000000E+0	3,000000E+0	65,531000E+3
17	0,000000E+0	2,000000E+0	4,000000E+0	65,528000E+3
18	1,000000E+0	0,000000E+0	3,000000E+0	65,530000E+3
19	0,000000E+0	5,000000E+0	4,000000E+0	65,526000E+3
20	2,000000E+0	1,000000E+0	2,000000E+0	65,530000E+3
21	0,000000E+0	7,000000E+0	4,000000E+0	65,528000E+3
22	2,000000E+0	1,000000E+0	0,000000E+0	65,532000E+3
23	0,000000E+0	5,000000E+0	4,000000E+0	65,530000E+3
24	1,000000E+0	1,000000E+0	3,000000E+0	65,535000E+3
25	0,000000E+0	3,000000E+0	4,000000E+0	65,531000E+3
26	0,000000E+0	0,000000E+0	3,000000E+0	65,535000E+3
27	0,000000E+0	3,000000E+0	6,000000E+0	65,533000E+3
28	0,000000E+0	0,000000E+0	5,000000E+0	0,000000E+0
29	0,000000E+0	4,000000E+0	6,000000E+0	65,535000E+3
