vendredi 13 décembre 2024	11:09:02	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
0	1,022000E+3	1,022000E+3	1,026000E+3	1,025000E+3
1	1,021000E+3	1,022000E+3	1,026000E+3	1,024000E+3
2	1,021000E+3	1,023000E+3	1,026000E+3	1,024000E+3
3	1,021000E+3	1,024000E+3	1,026000E+3	1,023000E+3
4	1,021000E+3	1,026000E+3	1,026000E+3	1,021000E+3
5	1,021000E+3	1,029000E+3	1,026000E+3	1,019000E+3
6	1,020000E+3	1,032000E+3	1,026000E+3	1,016000E+3
7	1,020000E+3	1,035000E+3	1,026000E+3	1,013000E+3
8	1,018000E+3	1,039000E+3	1,027000E+3	1,010000E+3
9	1,017000E+3	1,041000E+3	1,027000E+3	1,008000E+3
10	1,015000E+3	1,044000E+3	1,028000E+3	1,004000E+3
11	1,014000E+3	1,047000E+3	1,030000E+3	1,001000E+3
12	1,013000E+3	1,050000E+3	1,031000E+3	998,000000E+0
13	1,012000E+3	1,053000E+3	1,032000E+3	995,000000E+0
14	1,010000E+3	1,056000E+3	1,034000E+3	992,000000E+0
15	1,009000E+3	1,060000E+3	1,035000E+3	990,000000E+0
16	1,007000E+3	1,062000E+3	1,037000E+3	987,000000E+0
17	1,007000E+3	1,065000E+3	1,039000E+3	984,000000E+0
18	1,005000E+3	1,067000E+3	1,041000E+3	982,000000E+0
19	1,003000E+3	1,070000E+3	1,042000E+3	979,000000E+0
20	1,002000E+3	1,073000E+3	1,043000E+3	976,000000E+0
21	1,001000E+3	1,075000E+3	1,045000E+3	973,000000E+0
22	999,000000E+0	1,078000E+3	1,046000E+3	970,000000E+0
23	998,000000E+0	1,081000E+3	1,047000E+3	967,000000E+0
24	996,000000E+0	1,085000E+3	1,049000E+3	964,000000E+0
25	996,000000E+0	1,088000E+3	1,050000E+3	961,000000E+0
26	994,000000E+0	1,090000E+3	1,051000E+3	958,000000E+0
27	993,000000E+0	1,093000E+3	1,052000E+3	955,000000E+0
28	992,000000E+0	1,096000E+3	1,054000E+3	952,000000E+0
29	992,000000E+0	1,099000E+3	1,055000E+3	949,000000E+0
